Source,Date,Title,URL,Keywords,Text
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,https://www.msnbc.com/am-joy/watch/coronavirus-bill-tackling-pandemic-discussed-by-sen-harris-81062981654,"['coronavirus', 'pushing', 'discussed', 'sen', 'working', 'tackling', 'targeting', 'need', 'bill', 'senate', 'pandemic', 'tells', 'reid', 'realization', 'harris']","The coronavirus bill in the U.S. Senate targeting the pandemic and its economic fallout is discussed by Sen. Kamala Harris who tells Joy Reid Senate Democrats are pushing for the realization that ‘working people need help, not big businesses.’"
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,https://www.msnbc.com/all-in/watch/chris-hayes-republicans-are-misreading-our-choices-for-coronavirus-response-81118789736,"['right', 'coronavirus', 'economy', 'school', 'cost', 'misreading', 'choices', 'worth', 'growing', 'keeping', 'republicans', 'thought', 'chris', 'response', 'hayes']",Chris Hayes on the school of thought growing on the right that the benefit of keeping people alive is not worth the cost of the economy.
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,https://www.msnbc.com/rachel-maddow/watch/safety-economics-and-harsh-reality-shape-coronavirus-response-80887877829,"['spread', 'coronavirus', 'shape', 'united', 'shaped', 'public', 'resources', 'safety', 'recommended', 'harsh', 'tom', 'talk', 'response', 'states', 'economics', 'reality']","Michael Bloomberg, former NYC mayor, and Dr. Tom Frieden, former CDC director, talk with Rachel Maddow about how decisions are made when public safety and public economics are in conflict, and how recommended best practices for curtailing the spread of the novel coronavirus in the United States are shaped by the realities of capabilities, resources and past mistakes."
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,https://www.msnbc.com/the-beat-with-ari/watch/virus-scandal-senators-accused-of-profiting-off-coronavirus-info-81043013617,"['receiving', 'profiting', 'coronavirus', 'accused', 'virus', 'united', 'prevent', 'scandal', 'senator', 'stock', 'senators', 'selling', 'info', 'trading', 'states', 'reported']","Two United States Senators are accused of selling millions in stock after receiving information on the coronavirus. Senator Kirsten Gillibrand, an author of the 2012 Stock Act to prevent insider trading in Congress, joins MSNBC’s Ari Melber to discuss the reported misconduct from her colleagues on Capitol Hill."
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,https://www.msnbc.com/the-last-word/watch/ezra-klein-trump-s-economic-view-of-coronavirus-a-false-choice-81168965561,"['tell', 'coronavirus', 'economic', 'vox', 'understand', 'view', 'choice', 'war', 'pandemic', 'tells', 'president', 'trumps', 'klein', 'ezra', 'recession', 'trump', 'false']","Ezra Klein, co-founder of Vox, tells Lawrence O'Donnell that President Trump fails to understand the enormity of the economic consequences of the coronavirus pandemic. Ezra says economists tell him this is ""what happens if you mix a recession, a financial crisis, a natural disaster and a war."""
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,https://www.msnbc.com/mtp-daily/watch/hospitals-scramble-to-expand-capacity-as-coronavirus-cases-spike-81159237522,"['coronavirus', 'spike', 'overwhelming', 'social', 'ranney', 'hospitals', 'measures', 'importance', 'distancing', 'scramble', 'expand', 'megan', 'capacity', 'discusses', 'cases', 'dr']",Dr. Megan Ranney discusses the importance of social distancing measures and the dangers of overwhelming hospitals.
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,https://www.msnbc.com/rachel-maddow/watch/mardis-gras-coronavirus-make-perfect-storm-crisis-in-louisiana-81168453544,"['spread', 'gras', 'louisiana', 'coronavirus', 'perfect', 'rebekah', 'overwhelm', 'mardi', 'resources', 'threatens', 'rachel', 'crisis', 'skyrocketing', 'talks', 'services', 'storm', 'staffing']","Dr. Rebekah Gee, CEO of LSU Healthcare Services, talks with Rachel Maddow about how the skyrocketing spread of the coronavirus in Louisiana threatens to overwhelm hospital resources there, not just the bed capacity but the staffing resources as well."
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,https://www.msnbc.com/11th-hour/watch/parker-trump-incredibly-frustrated-coronavirus-has-economy-shut-down-81169477588,"['coronavirus', 'economy', 'having', 'post', 'washington', 'parker', 'shut', 'frustrated', 'white', 'incredibly', 'effects', 'inside', 'frustrations', 'house', 'trump']",Ashley Parker of The Washington Post discusses the frustrations inside the Trump White House over the effects the coronavirus is having on the economy.
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,https://www.msnbc.com/the-last-word/watch/gov-whitmer-on-coronavirus-surge-it-s-a-dire-situation-81222725527,"['coronavirus', 'start', 'overwhelm', 'need', 'surge', 'situation', 'gov', 'protect', 'medical', 'patients', 'dire', 'talks', 'whitmer', 'odonnell', 'professionals']","As coronavirus cases start to overwhelm hospitals across the country, Gov. Gretchen Whitmer (D-MI) talks to Lawrence O’Donnell about what they need to help patients and to protect medical professionals."
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,https://www.msnbc.com/msnbc/watch/worldwide-coronavirus-cases-soar-led-by-italy-and-spain-81364549919,"['coronavirus', 'heads', 'spain', 'number', 'soar', 'reports', 'london', 'mark', 'million', 'led', 'nbc', 'covid19', 'cases', 'worldwide', 'italy']",The worldwide number of COVID-19 cases heads toward the million mark. NBC News' Ali Arouzi reports from London.
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,https://www.msnbc.com/msnbc/watch/new-white-house-model-projects-100k-200k-deaths-from-coronavirus-81462341818,"['coronavirus', 'social', 'force', 'task', 'intervention', 'model', 'deaths', 'measures', 'white', 'million', 'followed', 'house', '100k', 'projects', '200k', 'regulations']","During the White House coronavirus task force briefing, Dr. Deborah Birx broke down the estimated deaths in the U.S. from COVID-19 if the federal social distancing regulations are followed through April 30. She said 1.5 to 2.2 million Americans could've died without intervention measures, but still says 100,000 to 240,000 could die."
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,https://www.msnbc.com/11th-hour/watch/the-post-coronavirus-economy-is-abnormal-the-new-normal-81264197928,"['normal', 'postcoronavirus', 'economy', 'used', 'unemployment', 'surging', 'radically', 'abnormal', 'talk', 'million', 'numbers', 'stein', 'reality', 'sam']","With unemployment numbers surging to a historic 3.28 million, is the economic reality after the coronavirus going to be radically different than what Americans are used to? We talk to Sam Stein."
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,https://www.msnbc.com/msnbc/watch/pompeo-praises-efforts-to-bring-americans-home-amid-coronavirus-outbreak-81432133996,"['return', 'coronavirus', 'praises', 'state', 'secretary', 'praised', 'americans', 'pandemic', 'amid', 'abroad', 'mike', 'pompeo', 'bring', 'outbreak', 'efforts', 'plan']",Secretary of State Mike Pompeo praised the State Department's efforts to get Americans abroad back home amid the coronavirus pandemic and advised those still abroad to plan to return.
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,https://www.msnbc.com/katy-tur/watch/medical-student-warns-young-people-about-seriousness-of-coronavirus-81501253680,"['coronavirus', 'warns', 'student', 'david', 'medical', 'warning', 'vega', 'seriousness', 'dire', 'think', 'thought', 'young', 'invincible']","Medical student David Vega has beaten Coronavirus, and he has a dire warning for anyone who might think they are invincible - because at first he thought he was too."
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,https://www.msnbc.com/am-joy/watch/coronavirus-pandemic-in-new-york-city-detailed-by-mayor-de-blasio-81646661811,"['york', 'coronavirus', 'telling', 'city', 'start', 'surpass', 'war', 'pandemic', 'detailed', 'mayor', 'reid', 'outbreak', 'blasio']","New York City Mayor Bill de Blasio discusses the coronavirus outbreak in his city, as deaths from the pandemic start to surpass 2,000, telling Joy Reid, 'this is like the equivalent of being in a war.'"
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,https://www.msnbc.com/stephanie-ruhle/watch/nurse-on-treating-coronavirus-patients-in-pandemic-81538117854,"['coronavirus', 'watch', 'ruhle', 'maureen', 'treating', 'nurse', 'trying', 'pandemic', 'patients', 'safe', 'speak', 'stephanie']",Watch Stephanie Ruhle speak with nurse Maureen Biddinger-Grisius about her experience in treating coronavirus patients while also trying to keep herself and her family safe.
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,https://www.msnbc.com/all-in/watch/the-terrifying-trend-of-coronavirus-in-nursing-homes-81623109908,"['york', 'coronavirus', 'sarlin', 'trend', 'father', 'contracted', 'nursing', 'homes', 'tells', 'editor', 'terrifying', 'nbc', 'benjy']",NBC News editor Benjy Sarlin tells the story of how his father contracted coronavirus in a nursing home in New York.
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,http://www.msnbc.com/stephanie-ruhle/watch/stephanie-ruhle-interviews-sen-mark-rubio-amid-coronavirus-pandemic-81590853988,"['interviews', 'coronavirus', 'protection', 'ruhle', 'state', 'sen', 'program', 'senator', 'florida', 'pandemic', 'amid', 'paycheck', 'marco', 'report', 'rubio', 'stephanie']","Florida Senator Marco Rubio joins Stephanie Ruhle to discuss the Paycheck Protection Program, the March jobs report, and how the state of Florida is handling coronavirus."
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,https://www.msnbc.com/msnbc/watch/gov-cuomo-suggests-possible-flattening-of-new-york-coronavirus-curve-81696837663,"['york', 'cuomo', 'coronavirus', 'key', 'state', 'curve', 'gov', 'flattening', 'possible', 'pandemic', 'office', 'governor', 'suggests', 'question', 'plateaued', 'peaked']",New York Governor Andrew Cuomo says the key question his office is considering is whether the state will have a peaked or plateaued curve during coronavirus pandemic.
"{'id': 'msnbc', 'name': 'MSNBC'}",2020-03-23T20:44:17Z,Democrats hold coronavirus stimulus over transparency and local funding,https://www.msnbc.com/weekends-with-alex-witt/watch/coronavirus-outbreak-forces-vatican-to-change-holy-week-traditions-81655877822,"['usual', 'coronavirus', 'pope', 'francis', 'traditions', 'crowded', 'forces', 'masses', 'vatican', 'week', 'reports', 'palm', 'matt', 'change', 'outbreak', 'holy', 'officiants']",Matt Bradley reports from the Vatican on how Pope Francis and other officiants are celebrating Palm Sunday without the usual crowded masses.
