Date & Hour,open,high,low,close,volume
2020-04-08 13:30:00,23190.9395,23315.5508,23060.1406,23282.9492,39938118
2020-04-08 12:30:00,23186.3906,23293.8906,23158.6602,23190.6895,35591897
2020-04-08 11:30:00,23128.2891,23269.9902,23112.6699,23186.6406,45045864
2020-04-08 10:30:00,22872.6406,23141.8594,22795.5000,23126.8203,45115206
2020-04-08 09:30:00,22893.4707,23003.6094,22682.9902,22867.0000,0
2020-04-07 15:30:00,22701.9102,23048.9707,22634.4492,22634.4492,58935709
2020-04-07 14:30:00,23077.4609,23119.1406,22689.6504,22697.0098,54682465
2020-04-07 13:30:00,23321.0605,23326.4805,22964.8203,23079.6094,46136396
2020-04-07 12:30:00,23404.0996,23428.0801,23262.8809,23320.3398,40744938
2020-04-07 11:30:00,23230.9102,23470.1895,23225.0508,23403.7695,51966036
2020-04-07 10:30:00,23091.6797,23246.2109,22950.4609,23227.9395,66762990
2020-04-07 09:30:00,23537.4395,23617.2402,23071.5898,23092.5508,0
2020-04-06 15:30:00,22366.1191,22781.5195,22330.6797,22651.3906,94646574
2020-04-06 14:30:00,22228.3906,22375.5098,22219.3301,22365.8301,52505832
2020-04-06 13:30:00,22254.5293,22331.2793,22199.7598,22227.8906,40454616
2020-04-06 12:30:00,22246.2500,22274.5391,22193.7891,22254.6094,39217590
2020-04-06 11:30:00,22093.9297,22273.6602,22052.3906,22246.3008,43877806
2020-04-06 10:30:00,22063.5996,22095.3496,21951.5000,22095.1797,53931231
2020-04-06 09:30:00,21693.6309,22176.7891,21693.6309,22063.8906,0
2020-04-03 15:30:00,21030.5293,21154.8301,20883.5703,21054.6191,51961437
2020-04-03 14:30:00,20987.3594,21110.0703,20872.1094,21033.1602,46672780
2020-04-03 13:30:00,20933.0000,20991.6406,20863.0898,20987.7793,39586647
2020-04-03 12:30:00,20987.5195,21071.6094,20925.9902,20933.1406,31605774
2020-04-03 11:30:00,21097.3691,21160.4199,20928.5391,20987.0391,39319325
2020-04-03 10:30:00,21209.4297,21233.1992,21038.5293,21099.6699,46856297
2020-04-03 09:30:00,21262.9395,21447.8105,21178.7695,21208.5801,0
2020-04-02 15:30:00,21219.3398,21431.4902,21119.8008,21406.9297,63082471
2020-04-02 14:30:00,21010.3398,21269.5195,20947.5508,21218.4395,49746034
2020-04-02 13:30:00,21029.4102,21143.4395,20855.3906,21011.0000,42720221
2020-04-02 12:30:00,21278.4297,21361.7500,21023.7402,21027.2695,40369364
2020-04-02 11:30:00,21163.5293,21394.7207,21119.4004,21278.1602,45686905
2020-04-02 10:30:00,21142.9297,21475.1895,21111.5000,21164.0801,76128665
2020-04-02 09:30:00,20915.5185,21316.0883,20898.2041,21150.3752,0
2020-04-01 15:30:00,20892.8105,21017.3691,20784.4297,20956.1895,60684407
2020-04-01 14:30:00,21111.3594,21111.3594,20893.2500,20893.2500,47577382
2020-04-01 13:30:00,21067.8809,21204.0605,21007.1602,21110.8691,35827033
2020-04-01 12:30:00,21095.7598,21148.8594,20952.9199,21068.0801,45582241
2020-04-01 11:30:00,21295.7695,21351.8398,21080.5996,21095.0898,46760357
2020-04-01 10:30:00,21290.1504,21487.2402,21258.7695,21295.9102,51190862
2020-04-01 09:30:00,21047.1992,21368.4805,21022.0195,21289.1602,0
2020-03-31 15:30:00,21909.1602,22044.4492,21852.0801,21927.9102,68069834
2020-03-31 14:30:00,22171.5898,22243.0996,21884.6094,21910.7207,49387591
2020-03-31 13:30:00,22083.0293,22207.3398,22036.7598,22171.8301,37942559
2020-03-31 12:30:00,22240.9707,22241.3906,22034.6992,22079.0605,45059841
2020-03-31 11:30:00,22433.8906,22476.3691,22198.1992,22236.4004,46371020
2020-03-31 10:30:00,22354.5801,22480.3691,22297.5801,22436.6895,56107183
2020-03-31 09:30:00,22201.5508,22454.9199,22037.0996,22357.1094,0
2020-03-30 15:30:00,22121.0801,22378.0898,22102.7109,22322.9102,61750446
2020-03-30 14:30:00,22087.4199,22297.1895,22049.9902,22121.1895,55361842
2020-03-30 13:30:00,22111.0898,22119.0293,21938.6992,22087.9492,42299980
2020-03-30 12:30:00,22149.3398,22185.8809,22062.3809,22113.1797,41783667
2020-03-30 11:30:00,22142.1699,22169.1309,21985.2305,22149.1699,48837491
2020-03-30 10:30:00,21841.9004,22144.9395,21820.0605,22143.5098,57427923
2020-03-30 09:30:00,21678.2207,21891.2207,21522.0801,21845.0195,0
2020-03-27 15:30:00,22250.8301,22262.2598,21604.4102,21612.6191,77974603
2020-03-27 14:30:00,21967.9492,22327.5703,21868.4609,22251.8008,55456158
